Data,Dia da semana,Mes,Ano,Feriado,Cargo,Regime de trabalho,Salario Base,Salario Bruto,Valor_HE_por_hora,Hora_inicio,Hora_fim,qtd_HE,HE_retorno,Tipo_HE
2013-05-30,Quinta-feira,Maio,2013,Corpus Christi,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-31,Sexta-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-01,Sábado,Junho,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-02,Domingo,Junho,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-03,Segunda-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-04,Terça-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-05,Quarta-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-06,Quinta-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-07,Sexta-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-08,Sábado,Junho,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-09,Domingo,Junho,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-10,Segunda-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-11,Terça-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-12,Quarta-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-13,Quinta-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-14,Sexta-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-15,Sábado,Junho,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-16,Domingo,Junho,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-17,Segunda-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-18,Terça-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-19,Quarta-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-20,Quinta-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-21,Sexta-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-22,Sábado,Junho,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-23,Domingo,Junho,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-24,Segunda-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-25,Terça-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-26,Quarta-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-27,Quinta-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-28,Sexta-feira,Junho,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-29,Sábado,Junho,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-06-30,Domingo,Junho,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-07-01,Segunda-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-02,Terça-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-03,Quarta-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-04,Quinta-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-05,Sexta-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
