Data;Nome do Feriado;Feriado;Cargo;Regime de trabalho;Salario Base;Salario Bruto;ValorHE/Hora
08/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
09/11/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
10/11/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
11/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
12/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
13/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
14/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
15/11/2013;Proclamação da República;Sim;Eletricista;Trabalho;1576,94;2050,02;10,25
16/11/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
17/11/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
18/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
19/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
20/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
21/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
22/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
23/11/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
24/11/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
25/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
26/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
27/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
28/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
29/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
30/11/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
01/12/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
02/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
03/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
04/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
05/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
06/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
07/12/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
08/12/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
09/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
10/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
11/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
12/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
13/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
14/12/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
15/12/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
16/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
17/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
18/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
19/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
20/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
21/12/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
22/12/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
23/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
24/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
25/12/2013;Natal;Sim;Eletricista;Trabalho;1576,94;2050,02;10,25
26/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
27/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
28/12/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
29/12/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
30/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
31/12/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
01/01/2014;Confraternização Universal;Sim;Eletricista;Trabalho;1576,94;2050,02;10,25
02/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
03/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
04/01/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
05/01/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
06/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
07/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
08/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
09/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
10/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
11/01/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
12/01/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
13/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
14/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
15/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
16/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
17/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
18/01/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
19/01/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
20/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
21/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
22/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
23/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
24/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
25/01/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
26/01/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
27/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
28/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
29/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
30/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
31/01/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
01/02/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
02/02/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
03/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
04/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
05/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
06/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
07/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
08/02/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
09/02/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
10/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
11/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
12/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
13/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
14/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
15/02/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
16/02/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
17/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
18/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
19/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
20/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
21/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
22/02/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
23/02/2014;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
24/02/2014;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
